ano,mês,dia,hora,min,latit,longit,ss.s,mag,estado,cidade,
1965,8,12,,,-19940,-44720,  0.0, 3.3,MG,IGARATINGA,
1965,8,15,19,36,2660,-60160,  0.0, 4.8,RR,SE RR Guyana,
1966,,,,,-20600,-45440,  0.0, 0.0,MG,TIMBORE',
1966,8,4,2,45,-19000,-57800,  0.0, 0.0,MS,CORUMBA',
1966,11,15,5,,-20800,-46000,  0.0, 3.2,MG,REG. FURNAS,
1967,,,,,-21470,-46400,  0.0, 0.0,MG,CABO VERDE,
1967,1,21,15,59,-8200,-35980,  0.0, 3.8,PE,CARUARU,
1967,1,24,,,-8280,-35960,  0.0, 0.0,PE,CARUARU,
1967,1,25,,,-8280,-35960,  0.0, 0.0,PE,CARUARU,
1967,1,26,,,-8280,-35960,  0.0, 0.0,PE,CARUARU,
1967,3,22,21,12,-23300,-45000,  0.0, 4.1,SP,CUNHA,
1967,5,12,2,21,-7170,-73300, 73.0, 4.4,AC,ACRE,
